CATEGORÍA,ID,ITEM DE VERIFICACIÓN,CRITERIO DE ACEPTACIÓN,APLICA_TEST_DB,APLICA_SAKILA,ESTADO,COMENTARIOS
Conexión,CHK-001,Conexión a base de datos,Conexión exitosa sin errores,✓,✓,,
Conexión,CHK-002,Credenciales válidas,Usuario y password correctos en .env,✓,✓,,
Conexión,CHK-003,Puerto correcto,Puerto 3306 o configurado accesible,✓,✓,,
Conexión,CHK-004,Base de datos existe,Database existe en el servidor,✓,✓,,
Conexión,CHK-005,Permisos suficientes,"SELECT, INSERT, UPDATE, DELETE permitidos",✓,✓,,
Schema,CHK-006,Todas las tablas existen,Tablas requeridas presentes,✓,✓,,
Schema,CHK-007,Todas las vistas existen,Vistas requeridas presentes,✗,✓,,
Schema,CHK-008,Columnas correctas por tabla,Cada tabla tiene sus columnas esperadas,✓,✓,,
Schema,CHK-009,Tipos de datos correctos,Cada columna tiene tipo esperado,✓,✓,,
Schema,CHK-010,Primary keys definidas,Cada tabla tiene PK,✓,✓,,
Schema,CHK-011,Foreign keys definidas,Relaciones FK correctas,✓,✓,,
Schema,CHK-012,Índices creados,Índices para performance existen,✓,✓,,
Schema,CHK-013,Auto increment funcional,PKs incrementan correctamente,✓,✓,,
Constraints,CHK-014,NOT NULL respetado,Campos NOT NULL rechazan NULL,✓,✓,,
Constraints,CHK-015,UNIQUE respetado,Campos UNIQUE rechazan duplicados,✓,✓,,
Constraints,CHK-016,FK constraints activos,FKs rechazan valores inválidos,✓,✓,,
Constraints,CHK-017,ENUM constraints activos,Solo valores válidos aceptados,✓,✓,,
Constraints,CHK-018,CHECK constraints activos,Validaciones CHECK funcionan,✗,✗,,MySQL 8 soporta CHECK
Constraints,CHK-019,DEFAULT values aplicados,Valores default se insertan automáticamente,✓,✓,,
Constraints,CHK-020,CASCADE DELETE funciona,Eliminar padre elimina hijos,✓,✓,,
Datos,CHK-021,Datos de prueba cargados,Tablas tienen datos para testing,✓,✓,,
Datos,CHK-022,Volumen de datos suficiente,Cantidad adecuada para tests de performance,✓,✓,,
Datos,CHK-023,Datos consistentes,No hay datos huérfanos o inválidos,✓,✓,,
Datos,CHK-024,Integridad referencial,JOINs no producen NULLs inesperados,✓,✓,,
Datos,CHK-025,Valores en rangos esperados,Datos dentro de límites lógicos,✓,✓,,
CRUD,CHK-026,INSERT funciona,Inserción retorna ID válido,✓,✗,,Sakila es read-only en tests
CRUD,CHK-027,SELECT funciona,Consultas retornan datos correctos,✓,✓,,
CRUD,CHK-028,UPDATE funciona,Actualizaciones modifican datos,✓,✗,,Sakila es read-only en tests
CRUD,CHK-029,DELETE funciona,Eliminaciones remueven datos,✓,✗,,Sakila es read-only en tests
CRUD,CHK-030,INSERT múltiple funciona,Bulk insert exitoso,✓,✗,,
CRUD,CHK-031,Transacciones funcionan,COMMIT y ROLLBACK correctos,✓,✓,,
Queries,CHK-032,WHERE funciona,Filtros retornan datos correctos,✓,✓,,
Queries,CHK-033,ORDER BY funciona,Ordenamiento correcto,✓,✓,,
Queries,CHK-034,LIMIT funciona,Límite de resultados respetado,✓,✓,,
Queries,CHK-035,GROUP BY funciona,Agrupaciones correctas,✓,✓,,
Queries,CHK-036,HAVING funciona,Filtro post-agrupación correcto,✓,✓,,
Queries,CHK-037,JOIN funciona,JOINs retornan datos relacionados,✓,✓,,
Queries,CHK-038,Subqueries funcionan,Subconsultas ejecutan correctamente,✓,✓,,
Queries,CHK-039,Agregaciones funcionan,"COUNT, SUM, AVG, MIN, MAX correctos",✓,✓,,
Queries,CHK-040,DISTINCT funciona,Valores únicos retornados,✓,✓,,
Performance,CHK-041,SELECT < 2s en tablas grandes,Queries simples rápidas,✓,✓,,
Performance,CHK-042,JOINs < 3s,JOINs complejos aceptables,✓,✓,,
Performance,CHK-043,Bulk INSERT < 5s para 1000 rows,Inserciones masivas rápidas,✓,✗,,
Performance,CHK-044,COUNT < 0.5s,Conteos rápidos,✓,✓,,
Performance,CHK-045,Conexión < 1s,Establecer conexión rápido,✓,✓,,
Performance,CHK-046,Vistas < 2s,Consulta a vistas aceptable,✗,✓,,
Seguridad,CHK-047,Credenciales en .env,Password no hardcodeado,✓,✓,,
Seguridad,CHK-048,.env en .gitignore,Credenciales no en repositorio,✓,✓,,
Seguridad,CHK-049,Queries parametrizadas,Sin concatenación de strings SQL,✓,✓,,
Seguridad,CHK-050,Errores manejados,Excepciones capturadas correctamente,✓,✓,,
Ambiente,CHK-051,Python version correcta,Python 3.10+,✓,✓,,
Ambiente,CHK-052,Dependencias instaladas,requirements.txt instalado,✓,✓,,
Ambiente,CHK-053,MySQL Server activo,Servicio MySQL corriendo,✓,✓,,
Ambiente,CHK-054,pytest configurado,pytest.ini presente y correcto,✓,✓,,
Ambiente,CHK-055,Fixtures funcionan,conftest.py carga correctamente,✓,✓,,
Reportes,CHK-056,Tests ejecutan sin errores,pytest retorna código 0,✓,✓,,
Reportes,CHK-057,Reporte HTML genera,--html produce archivo,✓,✓,,
Reportes,CHK-058,Todos los tests pasan,0 failures,✓,✓,,
Reportes,CHK-059,Markers funcionan,-m filtra correctamente,✓,✓,,
Reportes,CHK-060,Tiempo total aceptable,Suite completa < 30s,✓,✓,,
